key,value
code.javascript.dom.noForcedSyncLayoutsInCode,
code.javascript.dom.timerLeaksCount,0
code.javascript.dom.pollingWithoutObserverCount,0
code.javascript.dom.prefersNativeBrowserApis,
code.javascript.dom.modernEs6SyntaxUsed,
code.javascript.state.noMemoryLeakRisks,1
code.javascript.state.eventListenersCleanedUp,1
code.javascript.state.asyncAwaitUsed,1
code.javascript.state.promisesHandledCorrectly,1
code.javascript.state.stateMutationThroughSetters,
code.javascript.state.noSharedStateMutation,
code.javascript.state.noSideEffectsInPureFunctions,
code.javascript.state.consistentReturnTypes,
code.javascript.state.noStateMutationInLoops,
code.javascript.structure.globalVariablesCount,0
code.javascript.structure.jsScopedToComponent,1
code.javascript.structure.codingStyleConsistent,1
code.javascript.structure.deeplyNestedCallbacksCount,
code.javascript.structure.callChainDepthWithinLimit,
code.javascript.structure.inputValidationPresent,
code.javascript.structure.noUnreachableCode,
code.javascript.structure.noEmptyCatchBlocks,1
code.javascript.structure.noUnusedNpmPackages,0
code.javascript.structure.noUnusedComponentProps,
code.accessibility.wcag.wcag21AAComplianceMet,0
code.accessibility.wcag.dynamicContentChangesAnnounced,0
code.accessibility.components.modalDialogAriaCorrect,1
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,1
code.accessibility.css.visibleFocusStylesPresent,1
code.accessibility.css.hoverRulesHaveFocusEquivalent,1
code.accessibility.css.visuallyHiddenPatternCorrect,1
code.security.clientCode.noEvalOrFunctionString,0
code.security.clientCode.noDocumentWrite,1
code.security.clientCode.externalScriptsHaveSri,
code.security.clientCode.noUnsanitizedInnerHtml,1
code.security.secrets.noHardcodedApiKeys,0
code.security.secrets.noCredentialsInUrls,0
code.security.secrets.noSensitiveDataInComments,1
code.security.secrets.noInsecureStorageForSecrets,1
code.security.secrets.noPiiInStorageWithoutConsent,1
code.security.dependencies.noKnownVulnerableDependencies,1
code.security.input.noSensitiveDataInClientVisibleAttributes,1
code.quality.hygiene.lintErrorsCount,1000
code.quality.hygiene.unusedVariablesCount,
code.quality.hygiene.unusedFunctionsCount,
code.quality.hygiene.unusedImportsCount,
